ID,ID V 4.0,ID SwissFIR,name D,synonyms D,name F,synonyms F,name I,synonyms I,name E,synonyms E,category D,category F,category I,category E,specific gravity,energy kJ,unit,matrix unit,value type,source,energy kcal,unit,matrix unit,value type,source,protein,unit,matrix unit,value type,source,alcohol,unit,matrix unit,value type,source,water,unit,matrix unit,value type,source,"carbohydrates, available",unit,matrix unit,value type,source,starch,unit,matrix unit,value type,source,sugars,unit,matrix unit,value type,source,dietary fibres,unit,matrix unit,value type,source,"fat, total",unit,matrix unit,value type,source,cholesterol,unit,matrix unit,value type,source,"fatty acids, monounsaturated",unit,matrix unit,value type,source,"fatty acids, saturated",unit,matrix unit,value type,source,"fatty acids, polyunsaturated",unit,matrix unit,value type,source,vitamin A activity,unit,matrix unit,value type,source,all-trans retinol equivalents,unit,matrix unit,value type,source,beta-carotene activity,unit,matrix unit,value type,source,beta-carotene,unit,matrix unit,value type,source,vitamin B1 (thiamine),unit,matrix unit,value type,source,vitamin B2 (riboflavin),unit,matrix unit,value type,source,vitamin B6 (pyridoxine),unit,matrix unit,value type,source,vitamin B12 (cobalamin),unit,matrix unit,value type,source,niacin,unit,matrix unit,value type,source,folate,unit,matrix unit,value type,source,pantothenic acid,unit,matrix unit,value type,source,vitamin C (ascorbic acid),unit,matrix unit,value type,source,vitamin D (calciferol),unit,matrix unit,value type,source,vitamin E activity,unit,matrix unit,value type,source,sodium (Na),unit,matrix unit,value type,source,potassium (K),unit,matrix unit,value type,source,chloride (Cl),unit,matrix unit,value type,source,calcium (Ca),unit,matrix unit,value type,source,magnesium (Mg),unit,matrix unit,value type,source,phosphorus (P),unit,matrix unit,value type,source,iron (Fe),unit,matrix unit,value type,source,iodide (I),unit,matrix unit,value type,source,zinc (Zn),unit,matrix unit,value type,source,record has changed
416,4009,1000888,"Hecht, roh",,"Brochet, cru",,"Luccio, crudo",,"Pike, raw",,Fisch/Süsswasserfische,Poisson/Poissons d'eau douce,Pesce/Pesci d’acqua dolce,Fish/Fresh water fish,,342,kilojoule,per 100g edible portion,weighted,Computed value,81,kilocalorie,per 100g edible portion,weighted,Computed value,18.4,gram,per 100g edible portion,weighted,36,0,gram,per 100g edible portion,weighted,36,79.6,gram,per 100g edible portion,weighted,36,0,gram,per 100g edible portion,weighted,36,0,gram,per 100g edible portion,weighted,51,0,gram,per 100g edible portion,weighted,36,0,gram,per 100g edible portion,weighted,9,0.8,gram,per 100g edible portion,weighted,36,63,milligram,per 100g edible portion,weighted,36,0.2,gram,per 100g edible portion,weighted,9,0.2,gram,per 100g edible portion,weighted,9,0.2,gram,per 100g edible portion,weighted,9,6,retinol equivalent,per 100g edible portion,weighted,51,6,retinol equivalent,per 100g edible portion,weighted,51,0,beta-carotene equivalent,per 100g edible portion,weighted,51,0,microgram,per 100g edible portion,weighted,128,0.08,milligram,per 100g edible portion,weighted,36,0.06,milligram,per 100g edible portion,weighted,36,0.15,milligram,per 100g edible portion,weighted,36,2,microgram,per 100g edible portion,weighted,9,1.6,milligram,per 100g edible portion,weighted,36,6,microgram,per 100g edible portion,weighted,36,0.24,milligram,per 100g edible portion,weighted,9,3.8,milligram,per 100g edible portion,weighted,9,2,microgram,per 100g edible portion,weighted,9,0.91,alpha-tocopherol equivalent,per 100g edible portion,weighted,36,75,milligram,per 100g edible portion,weighted,36,320,milligram,per 100g edible portion,weighted,36,0,milligram,per 100g edible portion,weighted,22,32,milligram,per 100g edible portion,weighted,36,28,milligram,per 100g edible portion,weighted,36,220,milligram,per 100g edible portion,weighted,36,0.5,milligram,per 100g edible portion,weighted,36,8,microgram,per 100g edible portion,weighted,1007,0.8,milligram,per 100g edible portion,weighted,36,1
910,4151,1001583,"Hefeteig (mit Butter), süss, ungebacken",,"Pâte lévée (avec beurre), sucrée, crue",,"Pasta lievitata (con burro), dolce, cruda",,"Yeast dough (with butter), sweet, raw",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige","Produits céréaliers, légumineuses et pommes de terre/Pâtes","Prodotti a base di cereali, legumi e patate/Paste","Cereal products, pulses and potatoes/Dough",,1310,kilojoule,per 100g edible portion,weighted,Computed value,311,kilocalorie,per 100g edible portion,weighted,Computed value,8.6,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,33.9,gram,per 100g edible portion,weighted,Computed value,43.2,gram,per 100g edible portion,weighted,Computed value,36.4,gram,per 100g edible portion,weighted,Computed value,6.4,gram,per 100g edible portion,weighted,Computed value,1.9,gram,per 100g edible portion,weighted,Computed value,11.1,gram,per 100g edible portion,weighted,Computed value,67,milligram,per 100g edible portion,weighted,Computed value,2.7,gram,per 100g edible portion,weighted,Computed value,6.1,gram,per 100g edible portion,weighted,Computed value,1,gram,per 100g edible portion,weighted,Computed value,113,retinol equivalent,per 100g edible portion,weighted,Computed value,109,retinol equivalent,per 100g edible portion,weighted,Computed value,44,beta-carotene equivalent,per 100g edible portion,weighted,Computed value,43,microgram,per 100g edible portion,weighted,Computed value,0.13,milligram,per 100g edible portion,weighted,Computed value,0.15,milligram,per 100g edible portion,weighted,Computed value,0.15,milligram,per 100g edible portion,weighted,Computed value,0.56,microgram,per 100g edible portion,weighted,Computed value,1.8,milligram,per 100g edible portion,weighted,Computed value,32,microgram,per 100g edible portion,weighted,Computed value,0.49,milligram,per 100g edible portion,weighted,Computed value,0.2,milligram,per 100g edible portion,weighted,Computed value,0.4,microgram,per 100g edible portion,weighted,Computed value,0.45,alpha-tocopherol equivalent,per 100g edible portion,weighted,Computed value,380,milligram,per 100g edible portion,weighted,Computed value,130,milligram,per 100g edible portion,weighted,Computed value,580,milligram,per 100g edible portion,weighted,Computed value,37,milligram,per 100g edible portion,weighted,Computed value,17,milligram,per 100g edible portion,weighted,Computed value,110,milligram,per 100g edible portion,weighted,Computed value,1.1,milligram,per 100g edible portion,weighted,Computed value,5.1,microgram,per 100g edible portion,weighted,Computed value,0.9,milligram,per 100g edible portion,weighted,Computed value,1
1177,4657,,"Hefeteig (mit pflanzlichem Fett), süss, ungebacken",,"Pâte lévée (avec graisse végétale), sucrée, crue",,"Pasta lievitata (con grassa vegetale), dolce, cruda",,"Yeast dough (with vegetable fat), sweet, raw",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige","Produits céréaliers, légumineuses et pommes de terre/Pâtes","Prodotti a base di cereali, legumi e patate/Paste","Cereal products, pulses and potatoes/Dough",,1280,kilojoule,per 100g edible portion,weighted,Computed value,304,kilocalorie,per 100g edible portion,weighted,Computed value,9.1,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,36.2,gram,per 100g edible portion,weighted,Computed value,40,gram,per 100g edible portion,weighted,Computed value,38.5,gram,per 100g edible portion,weighted,Computed value,1.1,gram,per 100g edible portion,weighted,Computed value,2,gram,per 100g edible portion,weighted,Computed value,11.5,gram,per 100g edible portion,weighted,Computed value,46,milligram,per 100g edible portion,weighted,Computed value,4.8,gram,per 100g edible portion,weighted,Computed value,3.4,gram,per 100g edible portion,weighted,Computed value,2.2,gram,per 100g edible portion,weighted,Computed value,120,retinol equivalent,per 100g edible portion,weighted,Computed value,116,retinol equivalent,per 100g edible portion,weighted,Computed value,45,beta-carotene equivalent,per 100g edible portion,weighted,Computed value,4,microgram,per 100g edible portion,weighted,Computed value,0.14,milligram,per 100g edible portion,weighted,Computed value,0.15,milligram,per 100g edible portion,weighted,Computed value,0.16,milligram,per 100g edible portion,weighted,Computed value,0.6,microgram,per 100g edible portion,weighted,Computed value,1.9,milligram,per 100g edible portion,weighted,Computed value,34,microgram,per 100g edible portion,weighted,Computed value,0.52,milligram,per 100g edible portion,weighted,Computed value,0.2,milligram,per 100g edible portion,weighted,Computed value,0.8,microgram,per 100g edible portion,weighted,Computed value,2.5,alpha-tocopherol equivalent,per 100g edible portion,weighted,Computed value,400,milligram,per 100g edible portion,weighted,Computed value,140,milligram,per 100g edible portion,weighted,Computed value,620,milligram,per 100g edible portion,weighted,Computed value,38,milligram,per 100g edible portion,weighted,Computed value,18,milligram,per 100g edible portion,weighted,Computed value,110,milligram,per 100g edible portion,weighted,Computed value,1.2,milligram,per 100g edible portion,weighted,Computed value,5.6,microgram,per 100g edible portion,weighted,Computed value,0.9,milligram,per 100g edible portion,weighted,Computed value,1
389,4557,1000852,"Heidelbeere, roh",,"Myrtille, crue",,"Mirtillo, crudo",,"Blueberry, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,245,kilojoule,per 100g edible portion,weighted,Computed value,58,kilocalorie,per 100g edible portion,weighted,Computed value,0.6,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,83,gram,per 100g edible portion,weighted,43,11.3,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,11.3,gram,per 100g edible portion,weighted,43,3,gram,per 100g edible portion,weighted,43,0.5,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,3,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,32,beta-carotene equivalent,per 100g edible portion,weighted,51,27,microgram,per 100g edible portion,weighted,164,0.03,milligram,per 100g edible portion,weighted,43,0.03,milligram,per 100g edible portion,weighted,43,0.05,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.4,milligram,per 100g edible portion,weighted,43,6,microgram,per 100g edible portion,weighted,43,0.1,milligram,per 100g edible portion,weighted,43,20,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,1.9,alpha-tocopherol equivalent,per 100g edible portion,weighted,9,2,milligram,per 100g edible portion,weighted,43,68,milligram,per 100g edible portion,weighted,43,5,milligram,per 100g edible portion,weighted,9,9,milligram,per 100g edible portion,weighted,43,4,milligram,per 100g edible portion,weighted,43,11,milligram,per 100g edible portion,weighted,43,0.5,milligram,per 100g edible portion,weighted,43,1,microgram,per 100g edible portion,weighted,9,0.1,milligram,per 100g edible portion,weighted,9,1
753,4401,1001396,"Heilbutt, roh",,"Flétan, cru",,"Halibut, crudo",Ippoglosso,"Halibut, raw",,Fisch/Meeresfische,Poisson/Poissons de mer,Pesce/Pesci di mare,Fish/Sea fish,,494,kilojoule,per 100g edible portion,weighted,Computed value,118,kilocalorie,per 100g edible portion,weighted,Computed value,20.6,gram,per 100g edible portion,weighted,13,0,gram,per 100g edible portion,weighted,13,74.5,gram,per 100g edible portion,weighted,13,0,gram,per 100g edible portion,weighted,13,0,gram,per 100g edible portion,weighted,51,0,gram,per 100g edible portion,weighted,13,0,gram,per 100g edible portion,weighted,13,3.9,gram,per 100g edible portion,weighted,13,60,milligram,per 100g edible portion,weighted,13,0.9,gram,per 100g edible portion,weighted,13,0.5,gram,per 100g edible portion,weighted,13,1.2,gram,per 100g edible portion,weighted,13,42,retinol equivalent,per 100g edible portion,weighted,51,42,retinol equivalent,per 100g edible portion,weighted,145,0,beta-carotene equivalent,per 100g edible portion,weighted,145,0,microgram,per 100g edible portion,weighted,51,0.04,milligram,per 100g edible portion,weighted,13,0.04,milligram,per 100g edible portion,weighted,13,0.42,milligram,per 100g edible portion,weighted,13,0.96,microgram,per 100g edible portion,weighted,13,4,milligram,per 100g edible portion,weighted,13,12,microgram,per 100g edible portion,weighted,13,0.28,milligram,per 100g edible portion,weighted,13,0,milligram,per 100g edible portion,weighted,13,9,microgram,per 100g edible portion,weighted,13,0.7,alpha-tocopherol equivalent,per 100g edible portion,weighted,13,64,milligram,per 100g edible portion,weighted,13,400,milligram,per 100g edible portion,weighted,13,210,milligram,per 100g edible portion,weighted,9,15,milligram,per 100g edible portion,weighted,13,23,milligram,per 100g edible portion,weighted,13,220,milligram,per 100g edible portion,weighted,13,0.5,milligram,per 100g edible portion,weighted,13,1,microgram,per 100g edible portion,weighted,13,0.5,milligram,per 100g edible portion,weighted,13,1
390,4558,1000853,"Himbeere, roh",,"Framboise, crue",,"Lampone, crudo",,"Raspberry, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,,215,kilojoule,per 100g edible portion,weighted,Computed value,52,kilocalorie,per 100g edible portion,weighted,Computed value,1.2,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,84,gram,per 100g edible portion,weighted,43,7,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,7,gram,per 100g edible portion,weighted,43,6.7,gram,per 100g edible portion,weighted,43,0.6,gram,per 100g edible portion,weighted,43,0,milligram,per 100g edible portion,weighted,43,0.1,gram,per 100g edible portion,weighted,43,0,gram,per 100g edible portion,weighted,43,0.3,gram,per 100g edible portion,weighted,43,2,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,30,beta-carotene equivalent,per 100g edible portion,weighted,51,11,microgram,per 100g edible portion,weighted,121,0.03,milligram,per 100g edible portion,weighted,43,0.04,milligram,per 100g edible portion,weighted,43,0.06,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.5,milligram,per 100g edible portion,weighted,43,40,microgram,per 100g edible portion,weighted,43,0.2,milligram,per 100g edible portion,weighted,43,25,milligram,per 100g edible portion,weighted,43,0,microgram,per 100g edible portion,weighted,43,0.2,alpha-tocopherol equivalent,per 100g edible portion,weighted,43,3,milligram,per 100g edible portion,weighted,43,220,milligram,per 100g edible portion,weighted,43,22,milligram,per 100g edible portion,weighted,9,22,milligram,per 100g edible portion,weighted,43,20,milligram,per 100g edible portion,weighted,43,29,milligram,per 100g edible portion,weighted,43,0.7,milligram,per 100g edible portion,weighted,43,3,microgram,per 100g edible portion,weighted,36,0.5,milligram,per 100g edible portion,weighted,9,1
691,4135,1001259,Hinterschinken,,Jambon cuit de derrière,,Prosciutto cotto di coscia,,"Ham, cooked",,Fleisch- und Wurstwaren/Kochwurstware,Produits carnés et charcuterie/Produits de charcuterie cuits,Prodotti carnei e insaccati/Insaccati cotti,Sausages and cold meats/Cooked sausage products,,440,kilojoule,per 100g edible portion,weighted,Computed value,104,kilocalorie,per 100g edible portion,weighted,Computed value,20.2,gram,per 100g edible portion,weighted,1032,0,gram,per 100g edible portion,weighted,22,73.6,gram,per 100g edible portion,weighted,1032,0.7,gram,per 100g edible portion,weighted,1032,0,gram,per 100g edible portion,weighted,22,0.7,gram,per 100g edible portion,weighted,1032,0,gram,per 100g edible portion,weighted,22,2.3,gram,per 100g edible portion,weighted,1032,42,milligram,per 100g edible portion,weighted,1032,1.1,gram,per 100g edible portion,weighted,1032,0.8,gram,per 100g edible portion,weighted,1032,0.2,gram,per 100g edible portion,weighted,1032,4,retinol equivalent,per 100g edible portion,weighted,51,4,retinol equivalent,per 100g edible portion,weighted,8,0,beta-carotene equivalent,per 100g edible portion,weighted,51,0,microgram,per 100g edible portion,weighted,51,0.6,milligram,per 100g edible portion,weighted,1032,0.17,milligram,per 100g edible portion,weighted,1032,0.39,milligram,per 100g edible portion,weighted,1032,0,microgram,per 100g edible portion,weighted,1032,6.1,milligram,per 100g edible portion,weighted,1032,2,microgram,per 100g edible portion,weighted,9,0.7,milligram,per 100g edible portion,weighted,1032,60.8,milligram,per 100g edible portion,weighted,1032,0,microgram,per 100g edible portion,weighted,1032,0.19,alpha-tocopherol equivalent,per 100g edible portion,weighted,9,940,milligram,per 100g edible portion,weighted,1032,450,milligram,per 100g edible portion,weighted,1032,1230,milligram,per 100g edible portion,weighted,1032,16,milligram,per 100g edible portion,weighted,1032,24,milligram,per 100g edible portion,weighted,1032,330,milligram,per 100g edible portion,weighted,1032,0.6,milligram,per 100g edible portion,weighted,1032,3.6,microgram,per 100g edible portion,weighted,9,1.9,milligram,per 100g edible portion,weighted,1032,1
487,4277,1000974,"Hirsch (Durchschnitt), roh",,"Cerf (moyenne), cru",,"Cervo (in media), crudo",,"Deer (average), raw",,Fleisch und Innereien/Wild,Viande et abats/Gibier,Carne e frattaglie/Selvaggina,Meat and offal/Game,,472,kilojoule,per 100g edible portion,weighted,Computed value,112,kilocalorie,per 100g edible portion,weighted,Computed value,20.6,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,22,74.9,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,51,0,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,22,3.3,gram,per 100g edible portion,weighted,9,50,milligram,per 100g edible portion,weighted,9,1.4,gram,per 100g edible portion,weighted,9,1.5,gram,per 100g edible portion,weighted,9,0.2,gram,per 100g edible portion,weighted,9,0,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,0,beta-carotene equivalent,per 100g edible portion,weighted,51,0,microgram,per 100g edible portion,weighted,51,0.25,milligram,per 100g edible portion,weighted,9,0.25,milligram,per 100g edible portion,weighted,9,0.3,milligram,per 100g edible portion,weighted,9,1,microgram,per 100g edible portion,weighted,9,0,milligram,per 100g edible portion,weighted,22,5,microgram,per 100g edible portion,weighted,9,0.8,milligram,per 100g edible portion,weighted,9,0,milligram,per 100g edible portion,weighted,9,0,microgram,per 100g edible portion,weighted,22,0.13,alpha-tocopherol equivalent,per 100g edible portion,weighted,9,62,milligram,per 100g edible portion,weighted,9,310,milligram,per 100g edible portion,weighted,9,40,milligram,per 100g edible portion,weighted,9,10,milligram,per 100g edible portion,weighted,9,21,milligram,per 100g edible portion,weighted,9,200,milligram,per 100g edible portion,weighted,9,2.3,milligram,per 100g edible portion,weighted,9,0.6,microgram,per 100g edible portion,weighted,9,3.2,milligram,per 100g edible portion,weighted,9,1
12,4301,812049,"Hirsch, Entrecôte, roh",,"Cerf, entrecôte, crue",,"Cervo, entrecôte, crudo",,"Deer, entrecôte, raw",,Fleisch und Innereien/Wild,Viande et abats/Gibier,Carne e frattaglie/Selvaggina,Meat and offal/Game,,470,kilojoule,per 100g edible portion,weighted,Computed value,111,kilocalorie,per 100g edible portion,weighted,Computed value,23.1,gram,per 100g edible portion,weighted,146,0,gram,per 100g edible portion,weighted,51,71.5,gram,per 100g edible portion,weighted,146,0,gram,per 100g edible portion,weighted,51,,,,,,0,gram,per 100g edible portion,weighted,51,0,gram,per 100g edible portion,weighted,51,2.1,gram,per 100g edible portion,weighted,146,59,milligram,per 100g edible portion,weighted,146,0.9,gram,per 100g edible portion,weighted,146,1.2,gram,per 100g edible portion,weighted,146,0.5,gram,per 100g edible portion,weighted,146,0,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,0,beta-carotene equivalent,per 100g edible portion,weighted,51,0,microgram,per 100g edible portion,weighted,51,0.26,milligram,per 100g edible portion,weighted,110,0.6,milligram,per 100g edible portion,weighted,110,0.99,milligram,per 100g edible portion,weighted,146,6.3,microgram,per 100g edible portion,weighted,110,,,,,,6,microgram,per 100g edible portion,weighted,110,0.69,milligram,per 100g edible portion,weighted,156,0,milligram,per 100g edible portion,weighted,51,0.4,microgram,per 100g edible portion,weighted,81,0.2,alpha-tocopherol equivalent,per 100g edible portion,weighted,81,53,milligram,per 100g edible portion,weighted,146,320,milligram,per 100g edible portion,weighted,146,40,milligram,per 100g edible portion,weighted,8,3.2,milligram,per 100g edible portion,weighted,146,23,milligram,per 100g edible portion,weighted,146,200,milligram,per 100g edible portion,weighted,146,3,milligram,per 100g edible portion,weighted,146,7.8,microgram,per 100g edible portion,weighted,88,2.9,milligram,per 100g edible portion,weighted,146,1
422,3945,1000894,"Hirse, Korn geschält",,"Millet, grains décortiqués",,"Miglio, grano sgusciato",,"Millet, grain peeled",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte","Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali","Cereal products, pulses and potatoes/Other cereal products",,1510,kilojoule,per 100g edible portion,weighted,Computed value,357,kilocalorie,per 100g edible portion,weighted,Computed value,9.8,gram,per 100g edible portion,weighted,36,0,gram,per 100g edible portion,weighted,36,12.1,gram,per 100g edible portion,weighted,36,68.8,gram,per 100g edible portion,weighted,36,66.7,gram,per 100g edible portion,weighted,9,1.4,gram,per 100g edible portion,weighted,9,3.8,gram,per 100g edible portion,weighted,36,3.9,gram,per 100g edible portion,weighted,36,0,milligram,per 100g edible portion,weighted,9,0.8,gram,per 100g edible portion,weighted,9,0.9,gram,per 100g edible portion,weighted,9,1.7,gram,per 100g edible portion,weighted,9,0,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,0,beta-carotene equivalent,per 100g edible portion,weighted,51,0,microgram,per 100g edible portion,weighted,8,0.36,milligram,per 100g edible portion,weighted,1642;36,0.11,milligram,per 100g edible portion,weighted,36,0.37,milligram,per 100g edible portion,weighted,1642;36,0,microgram,per 100g edible portion,weighted,9,1.8,milligram,per 100g edible portion,weighted,36,20,microgram,per 100g edible portion,weighted,9,0.54,milligram,per 100g edible portion,weighted,1642;9,0,milligram,per 100g edible portion,weighted,9,0,microgram,per 100g edible portion,weighted,9,0.41,alpha-tocopherol equivalent,per 100g edible portion,weighted,36,3,milligram,per 100g edible portion,weighted,36,170,milligram,per 100g edible portion,weighted,36,15,milligram,per 100g edible portion,weighted,36,9.5,milligram,per 100g edible portion,weighted,36,120,milligram,per 100g edible portion,weighted,36,280,milligram,per 100g edible portion,weighted,36,6.9,milligram,per 100g edible portion,weighted,36,2.5,microgram,per 100g edible portion,weighted,36,2.9,milligram,per 100g edible portion,weighted,36,1
938,4389,1001611,"Hirseflocken, Vollkorn",,"Millet, flocons complets",,"Fiocchi di miglio, integrali",,"Millet, wholemeal flakes",,"Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime","Pains, flocons et céréales pour le petit-déjeuner/Flocons, son et germes","Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi","Bread, flakes and breakfast cereals/Flakes, bran and germs",,1510,kilojoule,per 100g edible portion,weighted,Computed value,357,kilocalorie,per 100g edible portion,weighted,Computed value,9.8,gram,per 100g edible portion,weighted,9,0,gram,per 100g edible portion,weighted,1648,11.4,gram,per 100g edible portion,weighted,9,68.8,gram,per 100g edible portion,weighted,9,66.7,gram,per 100g edible portion,weighted,9,1.4,gram,per 100g edible portion,weighted,9,3.8,gram,per 100g edible portion,weighted,9,3.9,gram,per 100g edible portion,weighted,9,0,milligram,per 100g edible portion,weighted,22,0.8,gram,per 100g edible portion,weighted,9,0.9,gram,per 100g edible portion,weighted,9,1.7,gram,per 100g edible portion,weighted,9,1,retinol equivalent,per 100g edible portion,weighted,51,0,retinol equivalent,per 100g edible portion,weighted,51,12,beta-carotene equivalent,per 100g edible portion,weighted,51,12,microgram,per 100g edible portion,weighted,99,0.33,milligram,per 100g edible portion,weighted,1642;9,0.11,milligram,per 100g edible portion,weighted,9,0.53,milligram,per 100g edible portion,weighted,1642;9,0,microgram,per 100g edible portion,weighted,22,1.8,milligram,per 100g edible portion,weighted,9,20,microgram,per 100g edible portion,weighted,9,0.71,milligram,per 100g edible portion,weighted,1642;9,0,milligram,per 100g edible portion,weighted,22,0,microgram,per 100g edible portion,weighted,22,0.41,alpha-tocopherol equivalent,per 100g edible portion,weighted,9,3,milligram,per 100g edible portion,weighted,9,170,milligram,per 100g edible portion,weighted,1528,15,milligram,per 100g edible portion,weighted,9,20,milligram,per 100g edible portion,weighted,9,170,milligram,per 100g edible portion,weighted,9,310,milligram,per 100g edible portion,weighted,9,9,milligram,per 100g edible portion,weighted,9,2.5,microgram,per 100g edible portion,weighted,9,1.8,milligram,per 100g edible portion,weighted,9,1
1586,,,"Hirsotto, gekocht",,"Potée au millet, cuite",,"Migliotto, cotto",,"Millet risotto, cooked",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte","Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali","Cereal products, pulses and potatoes/Other cereal products",,612,kilojoule,per 100g edible portion,weighted,Computed value,145,kilocalorie,per 100g edible portion,weighted,Computed value,3.6,gram,per 100g edible portion,weighted,Computed value,0,gram,per 100g edible portion,weighted,Computed value,66.8,gram,per 100g edible portion,weighted,Computed value,24.9,gram,per 100g edible portion,weighted,Computed value,23.2,gram,per 100g edible portion,weighted,Computed value,1.5,gram,per 100g edible portion,weighted,Computed value,1.6,gram,per 100g edible portion,weighted,Computed value,3.1,gram,per 100g edible portion,weighted,Computed value,0,milligram,per 100g edible portion,weighted,Computed value,1.4,gram,per 100g edible portion,weighted,Computed value,0.5,gram,per 100g edible portion,weighted,Computed value,0.7,gram,per 100g edible portion,weighted,Computed value,0,retinol equivalent,per 100g edible portion,weighted,Computed value,0,retinol equivalent,per 100g edible portion,weighted,Computed value,1,beta-carotene equivalent,per 100g edible portion,weighted,Computed value,1,microgram,per 100g edible portion,weighted,Computed value,0.08,milligram,per 100g edible portion,weighted,Computed value,0.02,milligram,per 100g edible portion,weighted,Computed value,0.11,milligram,per 100g edible portion,weighted,Computed value,0,microgram,per 100g edible portion,weighted,Computed value,0.5,milligram,per 100g edible portion,weighted,Computed value,6.2,microgram,per 100g edible portion,weighted,Computed value,0.27,milligram,per 100g edible portion,weighted,Computed value,0.4,milligram,per 100g edible portion,weighted,Computed value,0,microgram,per 100g edible portion,weighted,Computed value,0.23,alpha-tocopherol equivalent,per 100g edible portion,weighted,Computed value,350,milligram,per 100g edible portion,weighted,Computed value,39,milligram,per 100g edible portion,weighted,Computed value,530,milligram,per 100g edible portion,weighted,Computed value,11,milligram,per 100g edible portion,weighted,Computed value,43,milligram,per 100g edible portion,weighted,Computed value,97,milligram,per 100g edible portion,weighted,Computed value,2.3,milligram,per 100g edible portion,weighted,Computed value,1.3,microgram,per 100g edible portion,weighted,Computed value,1,milligram,per 100g edible portion,weighted,Computed value,1
